Date,Precipitation,State
1961,2.16,Georgia
1962,4.15,Georgia
1963,3.44,Georgia
1964,2.29,Georgia
1965,1.96,Georgia
1966,2.56,Georgia
1967,3.37,Georgia
1968,4.06,Georgia
1969,2.24,Georgia
1970,1.4,Georgia
1971,2.94,Georgia
1972,3.9,Georgia
1973,2.25,Georgia
1974,2.38,Georgia
1975,2.39,Georgia
1976,4.99,Georgia
1977,4.71,Georgia
1978,2.86,Georgia
1979,4,Georgia
1980,1.98,Georgia
1981,1.73,Georgia
1982,3.7,Georgia
1983,6.42,Georgia
1984,2.28,Georgia
1985,5.21,Georgia
1986,6.16,Georgia
1987,2.92,Georgia
1988,3.05,Georgia
1989,3.22,Georgia
1990,1.75,Georgia
1991,1.74,Georgia
1992,7.83,Georgia
1993,3.7,Georgia
1994,3.22,Georgia
1995,3.98,Georgia
1996,2.46,Georgia
1997,5.63,Georgia
1998,1.68,Georgia
1999,2.26,Georgia
2000,4.3,Georgia
2001,1.37,Georgia
2002,4.88,Georgia
2003,2.82,Georgia
2004,4.65,Georgia
2005,2.92,Georgia
2006,3.01,Georgia
2007,1.32,Georgia
2008,3.59,Georgia
2009,3.94,Georgia
2010,2.08,Georgia
2011,2.83,Georgia
2012,1.07,Georgia
2013,3.23,Georgia
2014,4.36,Georgia
2015,6.28,Georgia
2016,0.95,Georgia
2017,1,Georgia
2018,6.24,Georgia
2019,3.18,Georgia
2020,2.99,Georgia
2021,1.13,Georgia
2022,3.96,Georgia
1895,1.48,Iowa
1896,2.01,Iowa
1897,0.63,Iowa
1898,1.46,Iowa
1899,1.19,Iowa
1900,1.06,Iowa
1901,0.83,Iowa
1902,2.07,Iowa
1903,0.52,Iowa
1904,0.16,Iowa
1905,2.91,Iowa
1906,2.06,Iowa
1907,1.01,Iowa
1908,1.54,Iowa
1909,5.35,Iowa
1910,0.34,Iowa
1911,1.43,Iowa
1912,0.97,Iowa
1913,1.17,Iowa
1914,0.21,Iowa
1915,1.9,Iowa
1916,1.54,Iowa
1917,0.27,Iowa
1918,2.03,Iowa
1919,3.41,Iowa
1920,2.22,Iowa
1921,0.58,Iowa
1922,3.61,Iowa
1923,0.59,Iowa
1924,0.61,Iowa
1925,0.73,Iowa
1926,2.11,Iowa
1927,0.93,Iowa
1928,3.77,Iowa
1929,1.18,Iowa
1930,2.15,Iowa
1931,5.75,Iowa
1932,1.51,Iowa
1933,0.33,Iowa
1934,4.92,Iowa
1935,2.69,Iowa
1936,0.66,Iowa
1937,0.71,Iowa
1938,2.7,Iowa
1939,0.49,Iowa
1940,2.51,Iowa
1941,1.83,Iowa
1942,1.73,Iowa
1943,1.06,Iowa
1944,1.67,Iowa
1945,1.28,Iowa
1946,1.73,Iowa
1947,1.88,Iowa
1948,2.72,Iowa
1949,0.5,Iowa
1950,0.57,Iowa
1951,1.29,Iowa
1952,2.73,Iowa
1953,1.33,Iowa
1954,0.24,Iowa
1955,0.24,Iowa
1956,2.03,Iowa
1957,2.5,Iowa
1958,1.62,Iowa
1959,1.86,Iowa
1960,0.95,Iowa
1961,2.96,Iowa
1962,0.56,Iowa
1963,1.35,Iowa
1964,1.2,Iowa
1965,1.3,Iowa
1966,0.49,Iowa
1967,0.67,Iowa
1968,1.19,Iowa
1969,0.27,Iowa
1970,1.69,Iowa
1971,3.08,Iowa
1972,2.28,Iowa
1973,2.25,Iowa
1974,1.41,Iowa
1975,3.47,Iowa
1976,0.1,Iowa
1977,1.65,Iowa
1978,2.41,Iowa
1979,1.85,Iowa
1980,0.43,Iowa
1981,2.05,Iowa
1982,2.93,Iowa
1983,4.68,Iowa
1984,2.04,Iowa
1985,2.24,Iowa
1986,1.15,Iowa
1987,2.64,Iowa
1988,2.61,Iowa
1989,0.27,Iowa
1990,1.65,Iowa
1991,4.36,Iowa
1992,4.38,Iowa
1993,1.09,Iowa
1994,2.21,Iowa
1995,1.7,Iowa
1996,2.65,Iowa
1997,1.02,Iowa
1998,1.61,Iowa
1999,1.02,Iowa
2000,2.15,Iowa
2001,1.55,Iowa
2002,0.22,Iowa
2003,3.46,Iowa
2004,2.21,Iowa
2005,1.75,Iowa
2006,1.77,Iowa
2007,0.18,Iowa
2008,1.72,Iowa
2009,1.19,Iowa
2010,1.64,Iowa
2011,2.08,Iowa
2012,1.05,Iowa
2013,1.59,Iowa
2014,0.76,Iowa
2015,4.08,Iowa
2016,1.39,Iowa
2017,0.41,Iowa
2018,1.81,Iowa
2019,1.49,Iowa
2020,2.09,Iowa
2021,0.98,Iowa
2022,2.04,Iowa
1895,1.64,Idaho
1896,5.97,Idaho
1897,4.01,Idaho
1898,2.65,Idaho
1899,2.73,Idaho
1900,2.66,Idaho
1901,1.48,Idaho
1902,3.74,Idaho
1903,4.32,Idaho
1904,0.89,Idaho
1905,2.05,Idaho
1906,3.85,Idaho
1907,1.56,Idaho
1908,1.29,Idaho
1909,5.57,Idaho
1910,4.86,Idaho
1911,2.78,Idaho
1912,2.29,Idaho
1913,3.49,Idaho
1914,1.09,Idaho
1915,2.84,Idaho
1916,1.96,Idaho
1917,1.98,Idaho
1918,1.36,Idaho
1919,2.86,Idaho
1920,2.84,Idaho
1921,3.86,Idaho
1922,1.3,Idaho
1923,1.73,Idaho
1924,2.86,Idaho
1925,1.71,Idaho
1926,5.39,Idaho
1927,6.55,Idaho
1928,1.95,Idaho
1929,0.31,Idaho
1930,1.98,Idaho
1931,2.34,Idaho
1932,2.92,Idaho
1933,1.05,Idaho
1934,2.97,Idaho
1935,1.3,Idaho
1936,0.24,Idaho
1937,3.55,Idaho
1938,2.38,Idaho
1939,0.33,Idaho
1940,2.61,Idaho
1941,2.54,Idaho
1942,5.44,Idaho
1943,1.2,Idaho
1944,2.99,Idaho
1945,3.48,Idaho
1946,4.59,Idaho
1947,2.89,Idaho
1948,3.5,Idaho
1949,2.59,Idaho
1950,2.93,Idaho
1951,2.37,Idaho
1952,1.02,Idaho
1953,2.39,Idaho
1954,1.66,Idaho
1955,3.67,Idaho
1956,0.91,Idaho
1957,1.69,Idaho
1958,3.66,Idaho
1959,1.72,Idaho
1960,4.01,Idaho
1961,2.33,Idaho
1962,3,Idaho
1963,3.6,Idaho
1964,3.21,Idaho
1965,2.78,Idaho
1966,2.95,Idaho
1967,1.86,Idaho
1968,3.48,Idaho
1969,1.03,Idaho
1970,4,Idaho
1971,2.82,Idaho
1972,1.89,Idaho
1973,5.88,Idaho
1974,1.95,Idaho
1975,2.47,Idaho
1976,0.56,Idaho
1977,3.21,Idaho
1978,1.74,Idaho
1979,1.49,Idaho
1980,2.37,Idaho
1981,3.58,Idaho
1982,2.57,Idaho
1983,4.81,Idaho
1984,3.98,Idaho
1985,3.06,Idaho
1986,2.58,Idaho
1987,1.67,Idaho
1988,5.09,Idaho
1989,2.11,Idaho
1990,2.59,Idaho
1991,3.76,Idaho
1992,2.51,Idaho
1993,0.97,Idaho
1994,3.41,Idaho
1995,4.2,Idaho
1996,3.71,Idaho
1997,1.74,Idaho
1998,3.96,Idaho
1999,2.2,Idaho
2000,1.34,Idaho
2001,2.51,Idaho
2002,1.6,Idaho
2003,2.45,Idaho
2004,1.38,Idaho
2005,2.88,Idaho
2006,4.34,Idaho
2007,2.04,Idaho
2008,2.8,Idaho
2009,1.33,Idaho
2010,3.03,Idaho
2011,1.99,Idaho
2012,2.75,Idaho
2013,1.72,Idaho
2014,3.32,Idaho
2015,2.51,Idaho
2016,1.44,Idaho
2017,3.55,Idaho
2018,2.38,Idaho
2019,0.82,Idaho
2020,2.43,Idaho
2021,2.17,Idaho
2022,2.91,Idaho
1895,3.57,Illinois
1896,2.63,Illinois
1897,4.03,Illinois
1898,2.2,Illinois
1899,1.8,Illinois
1900,2.87,Illinois
1901,1.33,Illinois
1902,3.1,Illinois
1903,1.07,Illinois
1904,0.26,Illinois
1905,2.1,Illinois
1906,3.84,Illinois
1907,2.2,Illinois
1908,2.69,Illinois
1909,4.06,Illinois
1910,1.04,Illinois
1911,2.95,Illinois
1912,1.9,Illinois
1913,3.1,Illinois
1914,0.64,Illinois
1915,2.42,Illinois
1916,1.94,Illinois
1917,0.6,Illinois
1918,2.24,Illinois
1919,3.35,Illinois
1920,1.12,Illinois
1921,3.64,Illinois
1922,2.74,Illinois
1923,1.77,Illinois
1924,1.23,Illinois
1925,2.99,Illinois
1926,3.72,Illinois
1927,4.67,Illinois
1928,3.55,Illinois
1929,1.76,Illinois
1930,2.18,Illinois
1931,4.7,Illinois
1932,1.68,Illinois
1933,0.66,Illinois
1934,5.53,Illinois
1935,4.6,Illinois
1936,2.27,Illinois
1937,1.47,Illinois
1938,2.3,Illinois
1939,1.33,Illinois
1940,2.86,Illinois
1941,2.64,Illinois
1942,5.06,Illinois
1943,1.79,Illinois
1944,1.88,Illinois
1945,2.6,Illinois
1946,4.64,Illinois
1947,2.34,Illinois
1948,3.29,Illinois
1949,0.65,Illinois
1950,2.69,Illinois
1951,3.29,Illinois
1952,3.04,Illinois
1953,0.84,Illinois
1954,1.22,Illinois
1955,1.88,Illinois
1956,2.34,Illinois
1957,3.51,Illinois
1958,3.61,Illinois
1959,2.08,Illinois
1960,2.18,Illinois
1961,3.54,Illinois
1962,1.22,Illinois
1963,2.37,Illinois
1964,2.98,Illinois
1965,1.16,Illinois
1966,3.34,Illinois
1967,2.31,Illinois
1968,4.29,Illinois
1969,1.51,Illinois
1970,1.56,Illinois
1971,1.61,Illinois
1972,4.31,Illinois
1973,3.32,Illinois
1974,3.38,Illinois
1975,3,Illinois
1976,0.61,Illinois
1977,2.6,Illinois
1978,3.38,Illinois
1979,3.28,Illinois
1980,1.23,Illinois
1981,2.05,Illinois
1982,4.17,Illinois
1983,5.5,Illinois
1984,4.3,Illinois
1985,9.05,Illinois
1986,1.81,Illinois
1987,3.7,Illinois
1988,5.12,Illinois
1989,1.35,Illinois
1990,4.08,Illinois
1991,3.65,Illinois
1992,6.51,Illinois
1993,4.22,Illinois
1994,5.54,Illinois
1995,2.53,Illinois
1996,3.19,Illinois
1997,2.46,Illinois
1998,2.45,Illinois
1999,0.53,Illinois
2000,3.18,Illinois
2001,2.62,Illinois
2002,1.04,Illinois
2003,4.51,Illinois
2004,4.76,Illinois
2005,3.51,Illinois
2006,3.32,Illinois
2007,1.72,Illinois
2008,1.49,Illinois
2009,2.48,Illinois
2010,3.15,Illinois
2011,5.17,Illinois
2012,1.21,Illinois
2013,2.49,Illinois
2014,1.86,Illinois
2015,5.52,Illinois
2016,2.59,Illinois
2017,2.26,Illinois
2018,3.01,Illinois
2019,2.4,Illinois
2020,2.95,Illinois
2021,0.86,Illinois
2022,1.81,Illinois
1895,5.15,Indiana
1896,3.44,Indiana
1897,6.35,Indiana
1898,2.88,Indiana
1899,2.52,Indiana
1900,4.07,Indiana
1901,1.32,Indiana
1902,3.72,Indiana
1903,1.8,Indiana
1904,0.36,Indiana
1905,2.61,Indiana
1906,4.12,Indiana
1907,2.78,Indiana
1908,2.07,Indiana
1909,3.22,Indiana
1910,1.8,Indiana
1911,3.4,Indiana
1912,1.97,Indiana
1913,3.64,Indiana
1914,1.03,Indiana
1915,2.75,Indiana
1916,1.83,Indiana
1917,0.52,Indiana
1918,2.28,Indiana
1919,3.65,Indiana
1920,2.12,Indiana
1921,5.73,Indiana
1922,2.17,Indiana
1923,2.25,Indiana
1924,1.36,Indiana
1925,4.35,Indiana
1926,2.04,Indiana
1927,5.58,Indiana
1928,3.08,Indiana
1929,2.65,Indiana
1930,1.97,Indiana
1931,3.79,Indiana
1932,2.49,Indiana
1933,1.05,Indiana
1934,2.96,Indiana
1935,3.53,Indiana
1936,3.5,Indiana
1937,1.73,Indiana
1938,2.91,Indiana
1939,1.41,Indiana
1940,3.5,Indiana
1941,2.9,Indiana
1942,4.71,Indiana
1943,2.03,Indiana
1944,2.48,Indiana
1945,3.35,Indiana
1946,3.69,Indiana
1947,1.98,Indiana
1948,5.27,Indiana
1949,1.11,Indiana
1950,5.1,Indiana
1951,4,Indiana
1952,2.72,Indiana
1953,1.35,Indiana
1954,1.42,Indiana
1955,4.19,Indiana
1956,2.28,Indiana
1957,4.35,Indiana
1958,3.99,Indiana
1959,2.88,Indiana
1960,2.39,Indiana
1961,3.05,Indiana
1962,1.46,Indiana
1963,2.03,Indiana
1964,2.31,Indiana
1965,1.35,Indiana
1966,4.66,Indiana
1967,2.97,Indiana
1968,4.51,Indiana
1969,3.46,Indiana
1970,2.38,Indiana
1971,1.36,Indiana
1972,5.25,Indiana
1973,4.57,Indiana
1974,3.29,Indiana
1975,3.24,Indiana
1976,0.97,Indiana
1977,2.83,Indiana
1978,3.18,Indiana
1979,5.26,Indiana
1980,1.46,Indiana
1981,1.82,Indiana
1982,4.96,Indiana
1983,4.55,Indiana
1984,4.52,Indiana
1985,8.2,Indiana
1986,2.43,Indiana
1987,2.75,Indiana
1988,5.33,Indiana
1989,2.76,Indiana
1990,3.38,Indiana
1991,3.16,Indiana
1992,5.8,Indiana
1993,5.43,Indiana
1994,4.51,Indiana
1995,2.69,Indiana
1996,4.14,Indiana
1997,2.61,Indiana
1998,2.2,Indiana
1999,1.06,Indiana
2000,2.98,Indiana
2001,3.34,Indiana
2002,2.35,Indiana
2003,4.26,Indiana
2004,4.73,Indiana
2005,3.91,Indiana
2006,3.25,Indiana
2007,2.77,Indiana
2008,2.11,Indiana
2009,1.46,Indiana
2010,5.01,Indiana
2011,6.21,Indiana
2012,0.98,Indiana
2013,3.04,Indiana
2014,2.66,Indiana
2015,3.57,Indiana
2016,2.58,Indiana
2017,4.43,Indiana
2018,4.32,Indiana
2019,2.7,Indiana
2020,3.02,Indiana
2021,1.43,Indiana
2022,1.59,Indiana
1895,1.31,Kansas
1896,0.83,Kansas
1897,0.27,Kansas
1898,1.01,Kansas
1899,1.51,Kansas
1900,0.42,Kansas
1901,0.55,Kansas
1902,1.2,Kansas
1903,0.85,Kansas
1904,0.14,Kansas
1905,2.31,Kansas
1906,1.54,Kansas
1907,0.68,Kansas
1908,2.3,Kansas
1909,4.68,Kansas
1910,0.07,Kansas
1911,0.78,Kansas
1912,0.5,Kansas
1913,1.63,Kansas
1914,0.1,Kansas
1915,0.55,Kansas
1916,1.17,Kansas
1917,0.41,Kansas
1918,1.63,Kansas
1919,1.89,Kansas
1920,1.31,Kansas
1921,0.07,Kansas
1922,2.57,Kansas
1923,0.86,Kansas
1924,0.69,Kansas
1925,1.47,Kansas
1926,1.42,Kansas
1927,0.4,Kansas
1928,4.03,Kansas
1929,1.67,Kansas
1930,2.35,Kansas
1931,4.08,Kansas
1932,0.28,Kansas
1933,0.69,Kansas
1934,2.35,Kansas
1935,2.21,Kansas
1936,0.15,Kansas
1937,0.59,Kansas
1938,1.29,Kansas
1939,0.7,Kansas
1940,2.57,Kansas
1941,0.88,Kansas
1942,0.65,Kansas
1943,0.22,Kansas
1944,1.81,Kansas
1945,0.12,Kansas
1946,2.58,Kansas
1947,1.12,Kansas
1948,2.07,Kansas
1949,0.15,Kansas
1950,0.2,Kansas
1951,0.95,Kansas
1952,1.67,Kansas
1953,2.03,Kansas
1954,0.02,Kansas
1955,0.1,Kansas
1956,0.82,Kansas
1957,1.44,Kansas
1958,1.32,Kansas
1959,0.15,Kansas
1960,0.29,Kansas
1961,2.52,Kansas
1962,0.96,Kansas
1963,0.65,Kansas
1964,3.21,Kansas
1965,0.08,Kansas
1966,0.15,Kansas
1967,0.57,Kansas
1968,1.83,Kansas
1969,0.13,Kansas
1970,0.39,Kansas
1971,2.56,Kansas
1972,3.19,Kansas
1973,1.51,Kansas
1974,1.7,Kansas
1975,2.86,Kansas
1976,0.13,Kansas
1977,1.59,Kansas
1978,2.39,Kansas
1979,1.79,Kansas
1980,0.26,Kansas
1981,2.94,Kansas
1982,0.99,Kansas
1983,2.22,Kansas
1984,0.84,Kansas
1985,1.56,Kansas
1986,1.1,Kansas
1987,1.63,Kansas
1988,1.03,Kansas
1989,0,Kansas
1990,1.59,Kansas
1991,2.36,Kansas
1992,3.51,Kansas
1993,1.12,Kansas
1994,2.29,Kansas
1995,0.32,Kansas
1996,2.8,Kansas
1997,0.92,Kansas
1998,4.11,Kansas
1999,0.76,Kansas
2000,1.24,Kansas
2001,0.58,Kansas
2002,0.24,Kansas
2003,0.64,Kansas
2004,2.47,Kansas
2005,0.68,Kansas
2006,0.47,Kansas
2007,0.15,Kansas
2008,0.95,Kansas
2009,1.08,Kansas
2010,1.53,Kansas
2011,2.5,Kansas
2012,0.58,Kansas
2013,1.03,Kansas
2014,0.29,Kansas
2015,3.1,Kansas
2016,0.47,Kansas
2017,0.16,Kansas
2018,0.81,Kansas
2019,0.65,Kansas
2020,1.31,Kansas
2021,0.39,Kansas
2022,1.49,Kansas
1895,3.93,Kentucky
1896,4.73,Kentucky
1897,4.53,Kentucky
1898,2.95,Kentucky
1899,2.04,Kentucky
1900,8.25,Kentucky
1901,1.64,Kentucky
1902,4.46,Kentucky
1903,3.23,Kentucky
1904,1.02,Kentucky
1905,3.19,Kentucky
1906,5.23,Kentucky
1907,3.77,Kentucky
1908,2.69,Kentucky
1909,2.29,Kentucky
1910,1.84,Kentucky
1911,4.57,Kentucky
1912,1.37,Kentucky
1913,3.12,Kentucky
1914,1.21,Kentucky
1915,4.79,Kentucky
1916,1.53,Kentucky
1917,1.21,Kentucky
1918,2.1,Kentucky
1919,7.3,Kentucky
1920,2.39,Kentucky
1921,7.65,Kentucky
1922,1.9,Kentucky
1923,3.59,Kentucky
1924,1.92,Kentucky
1925,5.28,Kentucky
1926,3.71,Kentucky
1927,4.92,Kentucky
1928,3.93,Kentucky
1929,4.34,Kentucky
1930,1.91,Kentucky
1931,3.63,Kentucky
1932,2.73,Kentucky
1933,1.65,Kentucky
1934,3.08,Kentucky
1935,3.95,Kentucky
1936,3.5,Kentucky
1937,1.69,Kentucky
1938,3.81,Kentucky
1939,1.25,Kentucky
1940,3.73,Kentucky
1941,2.81,Kentucky
1942,4.75,Kentucky
1943,1.53,Kentucky
1944,2.57,Kentucky
1945,5.84,Kentucky
1946,3.5,Kentucky
1947,2.92,Kentucky
1948,7.66,Kentucky
1949,1.73,Kentucky
1950,5.13,Kentucky
1951,7.15,Kentucky
1952,3.22,Kentucky
1953,1.49,Kentucky
1954,1.92,Kentucky
1955,2.64,Kentucky
1956,2.32,Kentucky
1957,7.98,Kentucky
1958,3.36,Kentucky
1959,3.92,Kentucky
1960,3.35,Kentucky
1961,4.02,Kentucky
1962,3.31,Kentucky
1963,2.41,Kentucky
1964,3.44,Kentucky
1965,1.83,Kentucky
1966,4,Kentucky
1967,4.18,Kentucky
1968,3.68,Kentucky
1969,3.5,Kentucky
1970,2.47,Kentucky
1971,1.95,Kentucky
1972,5.4,Kentucky
1973,7.87,Kentucky
1974,3.09,Kentucky
1975,2.99,Kentucky
1976,0.85,Kentucky
1977,4.99,Kentucky
1978,4.68,Kentucky
1979,5.68,Kentucky
1980,3.47,Kentucky
1981,1.72,Kentucky
1982,4.33,Kentucky
1983,5.16,Kentucky
1984,6.37,Kentucky
1985,5.92,Kentucky
1986,6.69,Kentucky
1987,3.36,Kentucky
1988,7.31,Kentucky
1989,3.44,Kentucky
1990,2.9,Kentucky
1991,2.56,Kentucky
1992,3.72,Kentucky
1993,4.35,Kentucky
1994,3.34,Kentucky
1995,3.51,Kentucky
1996,5,Kentucky
1997,3.25,Kentucky
1998,2.02,Kentucky
1999,2.25,Kentucky
2000,2.82,Kentucky
2001,4.36,Kentucky
2002,3.52,Kentucky
2003,5.57,Kentucky
2004,5.68,Kentucky
2005,3.04,Kentucky
2006,3.22,Kentucky
2007,3.31,Kentucky
2008,2.6,Kentucky
2009,1.07,Kentucky
2010,4.9,Kentucky
2011,7.58,Kentucky
2012,1.34,Kentucky
2013,3.4,Kentucky
2014,2.43,Kentucky
2015,4.39,Kentucky
2016,2.07,Kentucky
2017,2.29,Kentucky
2018,5.82,Kentucky
2019,4.69,Kentucky
2020,2.23,Kentucky
2021,1.98,Kentucky
2022,2.58,Kentucky
1895,3.83,Louisiana
1896,5.68,Louisiana
1897,3.09,Louisiana
1898,7.24,Louisiana
1899,2.37,Louisiana
1900,3.07,Louisiana
1901,2.44,Louisiana
1902,5.24,Louisiana
1903,0.36,Louisiana
1904,2.14,Louisiana
1905,4.99,Louisiana
1906,3.72,Louisiana
1907,6.1,Louisiana
1908,2.67,Louisiana
1909,1.79,Louisiana
1910,2.42,Louisiana
1911,4.14,Louisiana
1912,1.17,Louisiana
1913,2.68,Louisiana
1914,5.25,Louisiana
1915,2.95,Louisiana
1916,1.28,Louisiana
1917,1.22,Louisiana
1918,5.59,Louisiana
1919,7.46,Louisiana
1920,3.84,Louisiana
1921,2.12,Louisiana
1922,4.07,Louisiana
1923,6.25,Louisiana
1924,0.72,Louisiana
1925,6.15,Louisiana
1926,3.87,Louisiana
1927,3.78,Louisiana
1928,3.16,Louisiana
1929,10.09,Louisiana
1930,5.86,Louisiana
1931,4.99,Louisiana
1932,4.25,Louisiana
1933,1.62,Louisiana
1934,8.27,Louisiana
1935,3.57,Louisiana
1936,3.88,Louisiana
1937,2.89,Louisiana
1938,4.09,Louisiana
1939,3.01,Louisiana
1940,8.85,Louisiana
1941,2.99,Louisiana
1942,1.12,Louisiana
1943,3.61,Louisiana
1944,7.62,Louisiana
1945,2.44,Louisiana
1946,7.08,Louisiana
1947,9.21,Louisiana
1948,11.19,Louisiana
1949,0.4,Louisiana
1950,2.08,Louisiana
1951,2.66,Louisiana
1952,4.45,Louisiana
1953,4.75,Louisiana
1954,2.52,Louisiana
1955,3.42,Louisiana
1956,3.24,Louisiana
1957,9.66,Louisiana
1958,2.39,Louisiana
1959,2.34,Louisiana
1960,2.59,Louisiana
1961,7.63,Louisiana
1962,3.18,Louisiana
1963,5.89,Louisiana
1964,4.31,Louisiana
1965,2.6,Louisiana
1966,2.41,Louisiana
1967,0.54,Louisiana
1968,6.33,Louisiana
1969,2.15,Louisiana
1970,2.12,Louisiana
1971,2.99,Louisiana
1972,5.81,Louisiana
1973,5.77,Louisiana
1974,6.05,Louisiana
1975,3.24,Louisiana
1976,4.35,Louisiana
1977,8.08,Louisiana
1978,4.71,Louisiana
1979,5.13,Louisiana
1980,3.97,Louisiana
1981,2.17,Louisiana
1982,6.6,Louisiana
1983,5.88,Louisiana
1984,4.68,Louisiana
1985,2.44,Louisiana
1986,9.03,Louisiana
1987,8.45,Louisiana
1988,2.96,Louisiana
1989,5.17,Louisiana
1990,4.32,Louisiana
1991,3.32,Louisiana
1992,8.26,Louisiana
1993,5.1,Louisiana
1994,2.38,Louisiana
1995,4.83,Louisiana
1996,3.63,Louisiana
1997,5.37,Louisiana
1998,5.18,Louisiana
1999,1.04,Louisiana
2000,11.52,Louisiana
2001,5.94,Louisiana
2002,5.48,Louisiana
2003,5.48,Louisiana
2004,9.23,Louisiana
2005,2.75,Louisiana
2006,2.6,Louisiana
2007,3.22,Louisiana
2008,3.75,Louisiana
2009,1.71,Louisiana
2010,5.36,Louisiana
2011,3.69,Louisiana
2012,1.68,Louisiana
2013,5.02,Louisiana
2014,3.5,Louisiana
2015,9.09,Louisiana
2016,2.95,Louisiana
2017,1.58,Louisiana
2018,6.98,Louisiana
2019,1.68,Louisiana
2020,3.57,Louisiana
2021,1.33,Louisiana
2022,6.69,Louisiana
1895,6,Massachusetts
1896,3.34,Massachusetts
1897,6.73,Massachusetts
1898,6.44,Massachusetts
1899,2.05,Massachusetts
1900,5.63,Massachusetts
1901,2.15,Massachusetts
1902,1.27,Massachusetts
1903,2.16,Massachusetts
1904,1.63,Massachusetts
1905,2.41,Massachusetts
1906,2.65,Massachusetts
1907,5.6,Massachusetts
1908,1.06,Massachusetts
1909,2.98,Massachusetts
1910,4.01,Massachusetts
1911,4.61,Massachusetts
1912,3.74,Massachusetts
1913,2.49,Massachusetts
1914,2.78,Massachusetts
1915,2.64,Massachusetts
1916,2.79,Massachusetts
1917,0.87,Massachusetts
1918,2.61,Massachusetts
1919,5.61,Massachusetts
1920,5.11,Massachusetts
1921,7.22,Massachusetts
1922,1.4,Massachusetts
1923,4.28,Massachusetts
1924,2.52,Massachusetts
1925,3.6,Massachusetts
1926,4.88,Massachusetts
1927,7.1,Massachusetts
1928,2,Massachusetts
1929,3.01,Massachusetts
1930,3.83,Massachusetts
1931,1.24,Massachusetts
1932,5.82,Massachusetts
1933,1.51,Massachusetts
1934,3.24,Massachusetts
1935,5.21,Massachusetts
1936,1.74,Massachusetts
1937,5.75,Massachusetts
1938,3.26,Massachusetts
1939,1.34,Massachusetts
1940,6.31,Massachusetts
1941,2.87,Massachusetts
1942,5.45,Massachusetts
1943,4.56,Massachusetts
1944,5.77,Massachusetts
1945,6.27,Massachusetts
1946,1.15,Massachusetts
1947,5.26,Massachusetts
1948,5.7,Massachusetts
1949,2.7,Massachusetts
1950,6.39,Massachusetts
1951,6.63,Massachusetts
1952,2.36,Massachusetts
1953,4.58,Massachusetts
1954,5.61,Massachusetts
1955,5.11,Massachusetts
1956,3.78,Massachusetts
1957,4.7,Massachusetts
1958,3.7,Massachusetts
1959,5.44,Massachusetts
1960,3.04,Massachusetts
1961,3.84,Massachusetts
1962,3.86,Massachusetts
1963,6.71,Massachusetts
1964,2.41,Massachusetts
1965,2.45,Massachusetts
1966,4.29,Massachusetts
1967,3.41,Massachusetts
1968,6.44,Massachusetts
1969,7.17,Massachusetts
1970,4.09,Massachusetts
1971,5.4,Massachusetts
1972,7.6,Massachusetts
1973,2.52,Massachusetts
1974,2.86,Massachusetts
1975,5.79,Massachusetts
1976,1.02,Massachusetts
1977,3.83,Massachusetts
1978,2.39,Massachusetts
1979,4.15,Massachusetts
1980,3.73,Massachusetts
1981,3.29,Massachusetts
1982,3.93,Massachusetts
1983,7.99,Massachusetts
1984,2.77,Massachusetts
1985,6.49,Massachusetts
1986,5.92,Massachusetts
1987,3.04,Massachusetts
1988,7.51,Massachusetts
1989,4.67,Massachusetts
1990,2.58,Massachusetts
1991,4.92,Massachusetts
1992,4.98,Massachusetts
1993,4.28,Massachusetts
1994,4.15,Massachusetts
1995,5.81,Massachusetts
1996,3.1,Massachusetts
1997,6.47,Massachusetts
1998,2.33,Massachusetts
1999,2.98,Massachusetts
2000,3.53,Massachusetts
2001,1.22,Massachusetts
2002,5.88,Massachusetts
2003,3.03,Massachusetts
2004,3.78,Massachusetts
2005,5.08,Massachusetts
2006,5.54,Massachusetts
2007,3.63,Massachusetts
2008,3.81,Massachusetts
2009,3.25,Massachusetts
2010,3.82,Massachusetts
2011,3.76,Massachusetts
2012,1.14,Massachusetts
2013,3.69,Massachusetts
2014,4.71,Massachusetts
2015,2.48,Massachusetts
2016,2.58,Massachusetts
2017,1.82,Massachusetts
2018,8.77,Massachusetts
2019,3.32,Massachusetts
2020,3.8,Massachusetts
2021,2.29,Massachusetts
2022,3.22,Massachusetts
1895,1.94,Maryland
1896,2.63,Maryland
1897,4.45,Maryland
1898,3.93,Maryland
1899,1.96,Maryland
1900,2.98,Maryland
1901,2.48,Maryland
1902,3.33,Maryland
1903,1.26,Maryland
1904,1.78,Maryland
1905,1.22,Maryland
1906,1.76,Maryland
1907,5.28,Maryland
1908,1.02,Maryland
1909,1.41,Maryland
1910,2.16,Maryland
1911,4.07,Maryland
1912,2.2,Maryland
1913,2.03,Maryland
1914,2.1,Maryland
1915,1.29,Maryland
1916,2.25,Maryland
1917,0.6,Maryland
1918,1.49,Maryland
1919,3.3,Maryland
1920,4.32,Maryland
1921,4.26,Maryland
1922,0.67,Maryland
1923,2.73,Maryland
1924,1.89,Maryland
1925,2.99,Maryland
1926,4.5,Maryland
1927,2.68,Maryland
1928,1.8,Maryland
1929,2.56,Maryland
1930,1.22,Maryland
1931,0.94,Maryland
1932,5.12,Maryland
